Name,Text
#WelcomeToHooverville https://t.co/xRNmeZF3td,MarkYusko,RT @azlalaruza: $gld $usd https://t.co/B3rfg1dELV,Frances_Coppola,RT @AFP: #BREAKING US Secretary of State Rex Tillerson warns Russia time to re-think support of Syria's Assad,MarkYusko,Data supports this assertion. https://t.co/M6Ts2cJBNg,MarkYusko,Gracias Amigo! Just spent some time w/ Julian this weekend and was reminded of what made him so great, an uncanny a… https://t.co/DA4s2G02zD,MarkYusko,No, just more dangerous... #PeakIndexing #PeakPassive https://t.co/7fsm06CHs4,MarkYusko,Hmmmmm... #MustLook https://t.co/FEMnkxiWkn,IvanTheK,Wut? https://t.co/R1eN6OM7Xv,MarkYusko,Discipline = #Edge https://t.co/QJPPHxiKrV,IvanTheK,Sale-lena Gomez #budgetcelebs @midnight,MarkYusko,Precisely why we own more paper in those countries than the U.S...
EM &gt; DM over next decade https://t.co/6QssxBMrq7,MarkYusko,What is 5,500 years between friends...? 😉👊🏻 https://t.co/6QssxBMrq7,MarkYusko,#NothingNewIsThisWorld https://t.co/KhwA5T0H7H,MarkYusko,#NothingNewInThisWorld https://t.co/KhwA5T0H7H,MarkYusko,#WellPlayed https://t.co/g8vm3zEfA8,IvanTheK,K-Martin Lawrence 
 #budgetcelebs @midnight,MarkYusko,#WellPlayed https://t.co/QcNLDQU8YQ,IvanTheK,Chance the Wrapper 
#budgetcelebs @midnight,IvanTheK,RT @MattNegrin: Sean Spicer treats the WH press corps like a bunch of kindergarteners https://t.co/skjUKe4lJK,MarkYusko,#WellPlayed
#FinTwit is on a roll tonight... https://t.co/lLfcQuMQY2,LiveSquawk,Japan Sold JPY4.38 Tln Of 3-Month Bills At An Average Yield Of -0.14% (prev -0.16%) BTC 4.4 (prev 5.3),MarkYusko,Wow. Saving this one! Gracias Amigo. Love the engagement on #FinTwit. https://t.co/r7g5LhH45t,MarkYusko,Perspective = #Edge https://t.co/NduKCfGm5i,IvanTheK,Q: Why can't you trust atoms?

A: Because they make up literally everything.,MarkYusko,#Inspiration
Gracias Amigo! https://t.co/qojY7JCjBE,Samir_Madani,RT @TankerTrackers: Stay tuned this Sunday!

We shall provide updates on Crude Oil Exports from #USA #Iraq #Iran #Oman #Kuwait #SaudiArabia…,Financial_Orbit,'slowest increase in Chinese business activity for six months...new business
sub-index... lowest reading since last… https://t.co/cLCHijAiq5,Schuldensuehner,Morning from Berlin. Risk sentiment soured as Fed talks of paring bal sheet. Asia stocks slip, investors on knife e… https://t.co/DNLo2zElyG,LiveSquawk,EU Finance Minsters To Study Bad Bank Loan Reduction Program – HB,Samir_Madani,RT @World: New York City at night, USA. https://t.co/hDq1Q0TY8q,LiveSquawk,German FinMin Schaeuble Supports Idea, Opposes European Bad Bank – HB,Schuldensuehner,For Trump, Mar-a-Lago is place to break ice w/ #China's Xi. China tops list of countries that have trade surpluses.… https://t.co/KjjgXwb7mR,Financial_Orbit,Good to see a HK-listed company make the list https://t.co/azNbSPzAgS,Schuldensuehner,This chart show why there is nervousness after #Fed minutes. Unwinding $4.5tn balance sheet this yr would mean redu… https://t.co/e3qd4lmgs1,Financial_Orbit,True that free cash flows are ok at the moment...and that many 'buys' are resting on this rather than earnings-cent… https://t.co/xkMiBvsrQ3,Financial_Orbit,"spending by overseas tourists in UK 15% higher in January than a year earlier and visits were up 9% https://t.co/arwdnZdST9 via @FT" $GBP,Schuldensuehner,Money printer Kuroda likely favorite for new Bank of #Japan term, if willing. https://t.co/y8GRM1phiS https://t.co/N1HVLdxMRP,MarkYusko,RT @EconomyWrld: Our economy, and global health, depend on ties to China - Seattle Times https://t.co/oFpSGBxWiA https://t.co/DpTS6VyAIK,Financial_Orbit,Great line from @thetimes on the upcoming #TrumpXi meeting: 

"Donald Trump is teetotal and Xi Jinping is tee-free",LiveSquawk,Netherlands CPI (YoY) Mar: 1.1% (prev 1.8%)
- CPI (MoM) Mar: 0.3% (prev 0.70%),LiveSquawk,Netherlands CPI EU Harmonised (YoY) Mar: 0.6% (exp 1.3%; prev 1.7%)
 - CPI EU Harmonised (MoM) Mar: 0.4% (exp 1.2%; prev 0.9%),MarkYusko,We truly are #BrothersFromOtherMothers
You write about #TheKing and I write about #Prince 😉
https://t.co/s3zhsBHT02 https://t.co/q4BBnD0WgJ,Schuldensuehner,Want some German bashing, political hogwash, Et voilà! #Euro saves #Germany, Slaughters the PIGS, &amp; Feeds the BLICS… https://t.co/iqdkQKijah,Financial_Orbit,“It’s possible that they’ll walk around a bit...nothing involving golf clubs..5 things to watch at Trump-Xi summit https://t.co/n092tWW03t ",Schuldensuehner,EU FinMin's want kind of European TARP, but no Bad Bank solution to clean bank's balance sheets from Non Perf Loans… https://t.co/UcXb1rDT3y,Financial_Orbit,Looking through the $YUMC presentation doc. Pizza Hut back into +ve lfls, KFC solid and margins up.  Innovation + m… https://t.co/JTG5R8aSnm,Financial_Orbit,Now this is cool #gold

(of course i don't i have #iphone...wonder if there is one for an Android phone?!) https://t.co/UiuBwocKVW,Financial_Orbit,This would be a great chart to give to both sides in Florida later #trumpxi 

"Don't muck it up" https://t.co/QzfI4zvpOA,JLyonsFundMgmt,ChOTD-4/5/17  German $DAX Testing 2015 All-Time Highs $EWG $DXGE https://t.co/Ru9MK9QJ6R,Financial_Orbit,Funny what happens with a weak $EUR and $GBP! https://t.co/CC5KXzTDTF,JLyonsFundMgmt,ChOTD-4/5/17  German $DAX Testing 2015 All-Time Highs $EWG $DXGE https://t.co/XOvgFn4NvY,LiveSquawk,Japanese Consumer Confidence Index Mar: 43.9 (exp 43.4; rev prev 43.2),Financial_Orbit,Keep this chart close!

Trying work out what is happening with this in 2018 is kind of important (I don't think the… https://t.co/EQQ0KraDs6,LiveSquawk,Swiss Court Rules France Should Not Be Helped Over HSBC – Figaro,JLyonsFundMgmt,(Post)  German Stock Rally Hitting A Speed Bump? $EWG $DXGE $DAX https://t.co/Qr1KZkJzqW https://t.co/4UJ9dNWmjb,Schuldensuehner,Happy Thursday from Berlin! https://t.co/xTr65LHqBA,Samir_Madani,RT @OilSheppard: Chief, you can buy the Cushing estimate off Genscape

BP oil trader builds "Iron Man" jet-powered flying suit… ,Samir_Madani,RT @hgloystein: Strong #Asia #Oil demand &amp; US #shale hedging boost #Crude futures trading. #Brent ahead of #WTI #OOTT #Reuters… ,Financial_Orbit,Ahead of #TrumpXi today's #macrobulletin looks at the Fed, UK realities, Europe and Chinese PMIs https://t.co/BcemEA3DRh,katie_martin_fx,RT @fastFT: With slower US employment growth expected, Donald Trump tweets to crow about jobs deals he played little part in… ,LiveSquawk,German Factory Orders (MoM) Feb: 3.40% (est 4.00%; rev prev -6.80%)
-Factory Orders (YoY) Feb: 4.60% (est 3.90%; prev -0.80%),LiveSquawk,Unilever Announces Plans To Start EUR5 Bln Share Buyback, Boost Dividend By 12%,LiveSquawk,RT @ForexLive: Nikkei 225 closes down -1.4% at 18,597.06 https://t.co/jWEEBEUnM0,Financial_Orbit,UK RNS today #1 - Unilever - their response to the Kraft bid is now complete.  Div &amp; buyback up, Spreads to go,Financial_Orbit,UK RNS today #2 - Electrocomponents: ahead hopes on continued good global progress; Homeserve: upper end as good progress/integrations in US,Financial_Orbit,UK RNS today #3 - BTG - upper end of revenue hopes; Findel - just below bottom end hopes as invested in customer recruitment; DMGT - new CFO,Samir_Madani,RT @spectatorindex: TECH: Twitter will create a 'lite' version with less data usage, which will be aimed at users in developing countries,LiveSquawk,German Banking Association Chief: Hopes ECB Will Reduce Bond Buying By End-2017 – RTRS,LiveSquawk,German Banking Association Chief: Hope 2018 Will See The End Of Neg Rates - RTRS,LiveSquawk,RT @stewhampton: *VLIEGHE SAYS FASTER INFLATION ALONE DOESN'T MEAN BOE RATE HIKE

*VLIEGHE SEES NO EVIDENCE LOW UNEMPLOYMENT BOOSTING WAGE…,LiveSquawk,BoE’s Vlieghe: Faster Infl. Alone Doesn’t Necessarily Mean BoE Rate Hikes,LiveSquawk,BoE’s Vlieghe: No Evidence That Low Unemployment Is Boosting Wage Growth,Samir_Madani,Twin 2 requires 34mL of milk while T1 requires 25. I've cut down time by beginning the changing and feeding session with T2. They meet up.,Schuldensuehner,German industrial new orders +3.4% MoM in Feb, offsetting part of -6.8% shock in Jan. Keep in mind, correlation to… https://t.co/qlQ0g7QXra,Schuldensuehner,That's how you deal w/ pre-Euro phantom pain? 15yrs later Billions of D-Mark, Francs and Liras remain unredeemed.… https://t.co/dBqdgE1cev,katie_martin_fx,RT @TonyTassell: The rise and rise of Tencent - now in the 10 biggest companies by market cap list - rpts @alicemuwu for @fastft… ,katie_martin_fx,for this, the group assumes its stake in the Bank is worth... nothing. https://t.co/e5KsaCsOg0,LiveSquawk,Speech By ECB’s Draghi On ‘Monetary Policy And The Economic Recovery In The Euro Area’  https://t.co/fwBQ4vAyyd,LiveSquawk,RT @NIESRorg: Short #podcast - our @MoniqueEbell explains pros &amp; cons of staying in the EU #CustomsUnion - Listen on your way in:… ,LiveSquawk,ECB’s Draghi: Reassessment Of Current Monetary Policy Stance Is Not Warranted At This Stage,LiveSquawk,ECB’s Draghi: Yet To See Sufficient Evidence To Materially Alter Assessment Of Inflation Outlook,LiveSquawk,ECB’s Draghi: Confident ECB Policy Is Working, Economic Outlook Is Gradually Improving,LiveSquawk,ECB’s Draghi: Inflation Outlook Remains Conditional On A ‘Very Substantial Degree’ Of Monetary Accommodation,LiveSquawk,ECB’s Draghi: Forces That Currently Weigh On Domestic Price Pressures Should Continue To Wane,LiveSquawk,ECB’s Draghi: Before Changing Components Of Stance, Need Sufficient Confidence That Infl. Will Converge To Our Aim Over A Mid-Term Horizon,Samir_Madani,RT @WaelMahdi: An #oil giant is still burning through its cash pile even as crude prices improve, by @viviannereim
#Saudi #OOTT… ,LiveSquawk,Swiss CPI (YoY) Mar: 0.60% (est 0.50%; prev 0.60%)
-CPI (MoM) Mar: 0.20% (est 0.20%; prev 0.50%),faithmight,Bulls being led (dragged!) by $GBPAUD 💪🏾 https://t.co/hZmGw1bYmK,katie_martin_fx,Reuters: "Unilever CFO says keeping options open for future optionality"

well alrighty then,LiveSquawk,RT @ecb: Draghi: There are grounds to be cautious on durability of inflation outlook,LiveSquawk,RT @fwred: #2: "scant evidence"
#3: "our inflation projections still include a material contribution from monetary policy" https://t.co/yyc…,faithmight,USD traders being very tentative here even after #FOMC mins. Complete stalemate at 1.25. Perhaps waiting on #payrolls #NFP $GBPUSD,faithmight,$EURUSD is falling over. Clearly a euro move as $EURGBP was tumbling seemingly on GBP strength but clearly now on euro weakness,katie_martin_fx,Brits abroad https://t.co/1ysxoFZUkd,Schuldensuehner,#Euro drops as Draghi dampens talk of #ECB raising negative interest rates. https://t.co/YG7DbqNMT9 https://t.co/2sB4mTLKt6,katie_martin_fx,Weidmann's like, nnnnh, and Draghi's like WHATEVER https://t.co/z7LKEIXOOD,LiveSquawk,Speech By ECB’s Praet ‘On Calibrating Unconventional Monetary Policy’  https://t.co/nIucNoWdLc,LiveSquawk,Bank Of Greece: ECB ELA Cap For Greek Banks Unchanged At EUR46.6 Bln,LiveSquawk,ECB's Praet: Our monetary policy is working, the euro area economic recovery is steadily firming $EURUSD,Financial_Orbit,So #Draghi not worrying about inflation then as per his current speech. 

Well you saw how he reacted to the new Eu… https://t.co/gMxVitt6wV,LiveSquawk,ECB’s Praet: ECB Forward Guidance Exploits Complementarities Of Negative Rates &amp; QE,Financial_Orbit,"policy interest rate...remain at present or lower levels for an extended period of time...well past the horizon of… https://t.co/asFuxrQX60,Samir_Madani,My wife just came to the hospital to take care of the twins. She told me to go home and get some rest but I am now too excited to sleep. WTF,Samir_Madani,Am excited to step outside and enjoy the sun and fresh air as our hospital room window has no view and window doesn't open. Gets stuffy.,katie_martin_fx,Kids these days do not remember Vic and Bob's Families At War. 
They are, of course, missing out. https://t.co/xakkQqv8PB,NorthmanTrader,Trouble in paradise. https://t.co/BLrnL2hfnB,LiveSquawk,RT @Danske_Research: 🇺🇸#FOMC minutes indicate the #Fed may begin 'quantitative tightening' later this year, which would be much earlier tha…,Schuldensuehner,#ECB's Praet on the sequencing issue: Rates will remain at present or lower well past horizon of net asset purchase… https://t.co/TpB2DZBxjm,LiveSquawk,EU’s Tusk To Meet UK PM May In London To Discuss Brexit,LiveSquawk,EU’s Tusk To Meet UK PM May In London Today To Discuss Brexit,LiveSquawk,RT @youseftv: Saudi #ARAMCO has lowered #oil prices for Europe, hopes to expand market share in #Russian dominated region… ,LiveSquawk,RT @BenMayEconomist: Praet and Draghi comments suggest imminent ECB policy change unlikely and QE the first lever to be pulled - our exp… ,LiveSquawk,RT @flyalex666: Lot of chatter about EURCCK on Czech Central Bank possibly removing the EUR peg.,NorthmanTrader,Hey, just saying.
$DAX https://t.co/f0wHSvhzsm,katie_martin_fx,RT @WilliamsonChris: ONS aims to sound recession alarm earlier by checking extra data - https://t.co/G90S9s0Dq7 via @FT,katie_martin_fx,Deutsche: "The stars are aligned for the SNB to let EUR/CHF fall to parity. We count seven without Le Pen."
mkaayyyy,LizAnnSonders,What a difference minutes can make...
@SoberLook https://t.co/468fYPU2ve,Samir_Madani,#OOTT #Iran #OPEC #Tankers https://t.co/R0fc3bARc1,LiveSquawk,SRB’s Chair Koenig: European Banks generally safer than they have been in a long time, but there are still issues,bySamRo,when sectors get bubbly https://t.co/e4FCEXYBj3,LiveSquawk,RT @FinancialTimes: The ECB’s upcoming repo market headache https://t.co/PXYb2SheRQ,LizAnnSonders,Sobering map of "Which country to you see as the biggest threat to world peace?"
@onlmaps @josephncohen @SoberLook https://t.co/UiwXDQDO2r,LiveSquawk,EU’s Dombrovskis: When Commenting On EU Banks’ NPL Problem, We're Talking About A ‘Remnant Of The Financial Crisis’ Not A New Crisis - RTRS,Samir_Madani,RT @PetroleumEcon: Increase in global #LNG supply of 6% last year due in part to more demand from Middle East #OOTT… ,LiveSquawk,Deutsche Bank’s Cryan: Not Currently Considering Mergers, Have Other Things To Do,LiveSquawk,German Markit Construction PMI Mar: 56.4 (prev 54.1) – Markit  https://t.co/lIcf1qQZge,Schuldensuehner,Bamm! Die Bilanzsumme der EZB ist über 4 Bio. Euro gestiegen. Im Handelsstreit mit Amerika ist das brisant… https://t.co/NW9vOcp9Ay,LiveSquawk,French Auction Results:
-EUR4.908 Bln In 2027 Bonds (avg yield 0.97%; b/c 2.026)
-EUR3.088 Bln In 2031 Bonds (avg yield 1.31%; b/c 1.913),LiveSquawk,(1) Spanish Auction Results:
-EUR1.86B In 2020 Bonds (avg yield -0.126%; b/c 1.6)
-EUR1.27B In 2027 Bonds (avg yield 1.61%; b/c 1.6),LiveSquawk,(2) Spanish Results:
-EUR792 Mln In 2041 Bonds (avg yield 2.666%; b/c 1.5)
-EUR876 Mln In I/L 2024 Bonds (avg yield 0.113%; b/c 2.0),LiveSquawk,RBI Hikes Reverse Repo Rate By 25Bp To 6.00% Vs 5.75%
-Repurchase Rate Unchanged At 6.25%,LiveSquawk,Greek Unemployment Rate Jan: 23.50% (rev prev 23.50%),Samir_Madani,RT @spectatorindex: BREAKING: Reports of new chemical weapons attack in Lataminah, Syria by Assad regime forces who allegedly used chlorine…,LiveSquawk,RT @ReutersLive: LIVE: Theresa May makes a speech in Nottinghamshire to launch the Conservative Party's local election campaign:… ,IvanTheK,These high school journalists investigated a new principal’s credentials. Days later, she resigned. https://t.co/xcGL4FB77p,katie_martin_fx,...after a 29% drop yesterday. Ouch. https://t.co/4VOcystt9g,Samir_Madani,RT @pgullbransson: British and working within the field of IT? How about moving to Sweden? We need you! Let me know #brexit #itjobs #modis,katie_martin_fx,useful memo here for wasps https://t.co/b5V4nHTgHi,LiveSquawk,ECB’s Weidmann: Current ECB Expansive Monetary Policy Is Appropriate,katie_martin_fx,troll so hard https://t.co/r2PXrLISTr,LiveSquawk,ECB’s Weidmann: Historically Low Interest Rates, Alongside A Flat Interest Rate Structure, Have A Long-Term Impact On Profitability Of Banks,LiveSquawk,ECB’s Weidmann: The Longer The Low-Interest Rate Continues, The Greater The Burden For German Banks,LiveSquawk,ECB’s Weidmann: Speed Of Normalisation Will Depend On The Economic Environment But Should Not Be At Any Cost,LiveSquawk,ECB’s Weidmann: Its Legitimate To Ask When Rates Will Rise, Given Prospect Of Robust Economic Recovery In The Euro-Area,LiveSquawk,Latest Harris Poll - 1st Round: Macron 25, Le Pen 24, Fillon 18, Melenchon 17,LiveSquawk,RT @ITVTonight: Tonight, @NicolaSturgeon speaks to @julieetchitv about the future of Scotland post-Brexit. Join us at 7:30pm… ,LiveSquawk,RT @MarketWatch: In the first 2 months of 2017 the U.S. trade gap with China is on track to top $300 billion for a 4th straight year… ,LiveSquawk,Opinionway Poll – 1st Round: Le Pen 25 (26), Macron 24 (Unch), Fillon 20 (Unch), Melenchon 16 (15),LiveSquawk,Opinionway Poll - 2nd Round: Macron, Le Pen 60/40 (Unch), Fillon, Le Pen 56/44 (Unch),Samir_Madani,RT @ncitayim: NEW: France's Total says it will begin exploratory drilling offshore #Cyprus in July. #oott https://t.co/aTTbYEsLHG,Samir_Madani,RT @gulf_news: 9,600 tree species are going to disappear. https://t.co/bp2NVqVi7G https://t.co/EXNAvvhJ60,Schuldensuehner,Laurel &amp; Hardy of the #ECB send Euro on a rollercoaster ride: Weidmann leans hawkish, after dovish Draghi https://t.co/R0H4blDUNE,Samir_Madani,RT @GBeleris: Global fleet of merchant ships is bracing for chaos of a $60 billion #fuel shock https://t.co/ewGjRoL5pe via @markets #shippi…,IvanTheK,If the #s continue like the first 2 months, the Fed will grow concerned they are falling behind the inflation curve. https://t.co/W267J9EaWs,katie_martin_fx,Absolute scenes with the #banter defence in the Libor trial. Let's smash it.  https://t.co/ERFDLVbuWJ https://t.co/gdK99DEpb8,IvanTheK,y/n ? https://t.co/zs0sVGZ1eb,NorthmanTrader,Select key performances since 05/2015 highs.
I reiterate: The notion of a broad based bull market is a myth.
Global… https://t.co/QaeWtFwFHr,NorthmanTrader,The man has the means, motivation and vision to do it.
Good on him. https://t.co/o2qWLlFrHw,LiveSquawk,Goldman Sachs Chief Economist Says Fed's Move 'Makes Sense' Ahead Of Likely Yellen Exit... https://t.co/mdaaCZbo2F,LiveSquawk,Czech Central Bank Confirms Removal Currency Cap,LiveSquawk,Czech Central Bank Ready To Intervene In Fx Markets To React To Excessive Moves, If Necessary,Samir_Madani,RT @chigrl: I love this headline !..#RogueNation  #IRAQ &gt;&gt;&gt;OPEC’s No.2 Goes Rogue: Plans 600,000 Bpd Oil Output Increase  https://t.co/Y82t…,katie_martin_fx,I turn my back for five minutes and CZECH IT OUT  https://t.co/vcBTDS3ZoC,LiveSquawk,RT @ForexLive: US Fed's Williams: 2 more rate hikes in 2017 is a sensible starting point https://t.co/SIn0SnOlxf,IvanTheK,Mixed views on the shoes. This is what makes markets.,Samir_Madani,RT @chigrl: Noticed something really interesting..looking at prod/exports #s ...so far @TankerTrackers is /has been far more accurate than…,bySamRo,RBC is all in on puns. cc: @colincampbell https://t.co/gXCBECQFgl,IvanTheK,“Now it’s a disco, but not for Lola.” https://t.co/RMzLrpI4bS,NorthmanTrader,2017: US Strategic Command souring Breitbart. 🚀🚀🚀😳 https://t.co/nzUatmAS9Y,NorthmanTrader,When sales flounder load up on debt to buy back shares. https://t.co/ij6pylpZ7d,katie_martin_fx,What is it with Nomura? Zumxit, PGxit, now *this* https://t.co/IAPBUU1XKw,LiveSquawk,Spotify Finally Readies An IPO...That’s Not An IPO – WSJ  https://t.co/HFcvrRaN4N,IvanTheK,80?! https://t.co/44XSZRD6m2,Samir_Madani,So I came home to get some sleep before u-turn to hospital and then I get call from friend with urgent IT support issues. Ughhh....,IvanTheK,Not only do y'all disagree on the style, the color is also controversial.,LiveSquawk,RT @IIF: Rise in #FX debt has been sharper in #LatinAmerica, #Turkey and #SouthAfrica. https://t.co/q5DSDeZpX0,Samir_Madani,I REALLY wish at times I knew nothing about it.,IvanTheK,(FTR, I'm a follower of the belt-matches-shoe color rule.),katie_martin_fx,So I could barely breathe for about two hours after SNB thing. This is more manageable. 
Still: CZECH IT OUT&gt;&gt; https://t.co/gPpYe4KumK,LiveSquawk,RT @EconomistLake: This is the most informative chart available on the Brexit negotiations. EIU view, country by country, on the main… ,hmeisler,@IvanTheK FinTwitFashionistas,katie_martin_fx,'Floorxit' is, indirectly, the fault of Buiter, coz of 'Grexit'

Original sin,LiveSquawk,BlackRock’s Fink Sees Europe As A Better Investment Compared To US - CNBC,LiveSquawk,RT @mariatad: So, 60pc of spaniards think eco situation is bad, 70pc describe political situation as bad/ v bad. https://t.co/CtlnI4HEqf,katie_martin_fx,RT @BTabrum: Czech CB bought €7.5bn in last 10days of March. This unwind is going to be interesting.,LiveSquawk,German FinMin Schaeuble: Optimistic On Reaching Solution On Greek Programme Review Soon – RTRS,LiveSquawk,German FinMin Schaeuble: Unsure If Solution Will Be Reached At ECOFIN On Friday - RTRS,NorthmanTrader,Spring. Dig it. https://t.co/gLvWygl35k,hmeisler,Guru covers bond shorts,katie_martin_fx,"Floorxit", you say? https://t.co/LgeNF0DNWr,Financial_Orbit,Did you miss my interview on @ShareRadioUK  yesterday? Click here for the update https://t.co/E0yWDCKxpz,LiveSquawk,US Challenger Job Cuts Mar: -2.00% (prev -40.00%),LiveSquawk,ECB Publishes Accounts Of March MonPol Meeting  https://t.co/h66a9NUGtv,LiveSquawk,ECB: Changes In Fwrd Guidance Could Lead To Undue Upward Shift In Mkt Rates, Tighten Financial Conditions,LiveSquawk,ECB: Broad Agreement In Maintaining Fwrd Guidance,LiveSquawk,ECB: ‘Very Substantial Accommodation’ Still Needed,LiveSquawk,ECB: Policy Normalisation Talk Warranted If Recovery Proceeds, Inflation Converges With 2% Goal,Samir_Madani,RT @chigrl: #India &gt;Saudi #Aramco keen to take stake in west coast refinery, says oil minister https://t.co/i3tmf54EBn #OOTT,Samir_Madani,RT @EnergyBasis: EGYPT OIL MINISTER SAYS TALKS TO IMPORT IRAQI #CRUDEOIL STILL ONGOING #OOTT,Samir_Madani,RT @Finwire: Spotify uppges planera börsnotering i USA utan att nyemittera aktier https://t.co/1WT2IYpy78 #ipo #leisure #media #tech,NorthmanTrader,Machine job security. https://t.co/oNytANGVFb,Schuldensuehner,#CZEXIT is here: Czech Central Bank ends Koruna cap after more than 3yrs. Koruna jumps. https://t.co/NS2tzr0EHN,hmeisler,AAII fewest bulls (28%) since just prior to the election (23%),hmeisler,RT @morrisonmkts: reports of the summit between @Potus and China's President likely to be a He said/ Xi said affair,NorthmanTrader,Stuck between a record gap of hard data and soft data the Fed is trying to engineer a soft landing versus a hard la… https://t.co/nGtphv4nx5,Schuldensuehner,#Czexit: Czech Central Bank ends currency cap to let Koruna float. Bets on gains lure record amounts of foreign cap… https://t.co/qRlYGyXhWC,LiveSquawk,ECB's Constancio: The Euro Area Is Experiencing A Resilient Recovery, But Too Soon To Declare Complete Success On Inflation,LiveSquawk,ECB's Constancio: Yet To Secure A Sustained Convergence In Inflation Towards Goal Of Close To But Below 2% Over The Medium Term,LiveSquawk,ECB's Constancio Speech On Effectiveness Of Monetary Union And The Capital Markets Union https://t.co/laRRPFXijd,bySamRo,ht @MichaelBKelley https://t.co/dkc07KgDio,Samir_Madani,A proper lunch for once! https://t.co/sqFxar2fB6,katie_martin_fx,Czexit Q&amp;A on the central bank website: "Can people at last look forward to cheaper holidays abroad?" https://t.co/tNvLlIsnfg,katie_martin_fx,someone please make it stop https://t.co/hFvsWsDVGn,bySamRo,RT @tracyalloway: Someone should write a hot take on how the cap being lifted off the Czech koruna turned into one big pun.,katie_martin_fx,cc: George Osborne https://t.co/vwwBdex9UE,Schuldensuehner,Czech Koruna still 28% undervalued vs Euro after end of currency peg, at least when measured by Purchasing Power Pa… https://t.co/QgQvr3JIkC,LiveSquawk,06 Apr - 13:14:01  RTRS - GM CFO SAYS COMPANY STILL SEES 2017 U.S. NEW LIGHT VEHICLE SALES IN "MID-17 MILLION RANGE",LiveSquawk,GM CFO SAYS COMPANY STILL SEES 2017 U.S. NEW LIGHT VEHICLE SALES IN "MID-17 MILLION RANGE" -Reuters,katie_martin_fx,#GREAT https://t.co/g0kc8ut8jn,JLyonsFundMgmt,The Lyons Share Daily Strategy Session video for 4/6/17 is up: https://t.co/y2LiC6Eqfx
Among tickers covered: $NDX $XLE $BTK $SOX $XRT $OIL,Frances_Coppola,RT @FinancialTimes: Martin Wolf: Britain’s dismal productivity is its biggest policy challenge https://t.co/I4sOO0W9Pc,JLyonsFundMgmt,ICYMI&gt;ChOTD-4/5/17  German Stock Rally Hitting A Speed Bump? $EWG $DXGE $DAX
Post: https://t.co/Qr1KZkJzqW https://t.co/SFaprLcuXk,Frances_Coppola,RT @faisalislam: So @eucopresident Tusk just arrived at @number10gov received warmly by @theresa_may ... everyone tight lipped https://t.co…,MarkYusko,Today at 2:00 PM EDT join me for a whirlwind tour of #Hooverville and how to protect your portfolio from the next… https://t.co/x7jDFriF7X,NorthmanTrader,Can anyone decipher any details on infrastructure policy in these word salads please?
@maggieNYT  @GlennThrush https://t.co/QgmaJevB0H,Frances_Coppola,RT @BCAppelbaum: And then there's this lovely passage: Words words words other words wait where am I going danger danger SQUIRREL! https://…,NorthmanTrader,Can anyone decipher any details on infrastructure policy in these word salads please? 
 @maggieNYT @GlennThrush… https://t.co/jg2REHUqM5,NorthmanTrader,My issue with all these proposals floating about is that they all die on lack of detail. It's all high level phrases &amp; pablum.,Frances_Coppola,RT @jennablan: Deutsche Bank not thinking about mergers, has other things to do: CEO https://t.co/w3uSz5mYVO,NorthmanTrader,.@realDonaldTrump self admittedly doesn't do detail. 1 pagers with bullet points he says. Well I'm sorry the country needs more than that.,Frances_Coppola,Nothing to do with UKIP being run by a thug, then. https://t.co/9O6ZC3jvpY,Frances_Coppola,RT @jennablan: Too soon to declare victory on inflation front: ECB's Constancio https://t.co/OJaNTQ3LdN,NorthmanTrader,Governing &amp; policy is actually freakin' complicated as it affects so many people.
We all deserve detail that can be debated in the open.,Samir_Madani,RT @TankerTrackers: Stay tuned this Sunday!

We shall provide updates on Crude Oil Exports from #USA #Iraq #Iran #Oman #Kuwait #SaudiArabia…,LiveSquawk,US Initial Job Claims 1-Apr: 234K(est. 250K; prev. 258K)
- US Continuing Job Claims 24-Mar: 2030K (est. 2030K; prev. 2052K),LiveSquawk,Canadian Building Permits (MoM) Feb: -2.5% (est. 1.3%; prev. 5.4%),NorthmanTrader,Running the business of the US government is not a campaign slogan.
The time for slogans is over.
Details. Bring them.,Frances_Coppola,If you start by introducing a spurious restriction that basic income can only be financed from income tax, OF COURS… https://t.co/wAyEA9ke0u,IvanTheK,I can't help to think that Trump's attitude on Syria changed when he was asked a question by a persistent reporter.,IvanTheK,I can't help but to think that Trump's attitude on Syria changed when he was asked a question by a persistent reporter.,Samir_Madani,RT @Conflicts: BREAKING: Loud explosion heard in residential building in St. Petersburg close to where explosives were found earlier - Reut…,LiveSquawk,Czech Central Bank Gov: Optimal Level For CZK Would Reflect Fundamentals - RTRS,LiveSquawk,Czech Central Bank Gov: If Econ. Growth Continues To Outpace EZ, It’d Correspond To Slight Firming In CZK  - RTRS,bySamRo,RT @nicoleusinclair: The man behind the term BRIC (Brazil, Russia, India, China) weighs in on Trump's approach to China- my chat w him w… ,LiveSquawk,Czech Central Bank Gov: Difficult To Predict When Rate Hike Will Be Needed - RTRS,Frances_Coppola,Sorry, John Kay, but negative income tax and basic income are NOT the same thing. Basic income can be funded in many ways.,Frances_Coppola,I can only assume that John Kay didn't look beyond the literature on negative income tax. Unfortunate.,Schuldensuehner,British Pound has dropped following #Czexit decision. UK is the Czech's 4th largest export market, Citi notes. https://t.co/Rt1dAN3ulS,Financial_Orbit,Just rediscovered this series of videos from a couple of years ago https://t.co/N3BUtLwXHS

